"Canton","Classes d'âge par étapes de 5 ans","Mois","Septembre 2017","Total"
 , ,"Mesures","Taux de chômage","Taux de chômage"
"Zurich","15-19 ans",,"3.9","3.9"
"Zurich","20-24 ans",,"3.7","3.7"
"Zurich","25-29 ans",,"3.5","3.5"
"Zurich","30-34 ans",,"3.7","3.7"
"Zurich","35-39 ans",,"3.8","3.8"
"Zurich","40-44 ans",,"3.2","3.2"
"Zurich","45-49 ans",,"2.9","2.9"
"Zurich","50-54 ans",,"3.1","3.1"
"Zurich","55-59 ans",,"3.2","3.2"
"Zurich","60 ans et plus",,"2.5","2.5"
"Berne","15-19 ans",,"2.2","2.2"
"Berne","20-24 ans",,"3.1","3.1"
"Berne","25-29 ans",,"3","3"
"Berne","30-34 ans",,"2.9","2.9"
"Berne","35-39 ans",,"2.8","2.8"
"Berne","40-44 ans",,"2","2"
"Berne","45-49 ans",,"2","2"
"Berne","50-54 ans",,"2.1","2.1"
"Berne","55-59 ans",,"2.2","2.2"
"Berne","60 ans et plus",,"2.2","2.2"
"Lucerne","15-19 ans",,"2.1","2.1"
"Lucerne","20-24 ans",,"2.1","2.1"
"Lucerne","25-29 ans",,"2","2"
"Lucerne","30-34 ans",,"2","2"
"Lucerne","35-39 ans",,"1.9","1.9"
"Lucerne","40-44 ans",,"1.4","1.4"
"Lucerne","45-49 ans",,"1.3","1.3"
"Lucerne","50-54 ans",,"1.5","1.5"
"Lucerne","55-59 ans",,"1.9","1.9"
"Lucerne","60 ans et plus",,"1.5","1.5"
"Uri","15-19 ans",,"0.4","0.4"
"Uri","20-24 ans",,"0.6","0.6"
"Uri","25-29 ans",,"0.8","0.8"
"Uri","30-34 ans",,"0.6","0.6"
"Uri","35-39 ans",,"0.5","0.5"
"Uri","40-44 ans",,"0.3","0.3"
"Uri","45-49 ans",,"0.6","0.6"
"Uri","50-54 ans",,"0.6","0.6"
"Uri","55-59 ans",,"0.9","0.9"
"Uri","60 ans et plus",,"0.6","0.6"
"Schwyz","15-19 ans",,"1.3","1.3"
"Schwyz","20-24 ans",,"1.7","1.7"
"Schwyz","25-29 ans",,"1.4","1.4"
"Schwyz","30-34 ans",,"1.7","1.7"
"Schwyz","35-39 ans",,"1.4","1.4"
"Schwyz","40-44 ans",,"1.7","1.7"
"Schwyz","45-49 ans",,"1.6","1.6"
"Schwyz","50-54 ans",,"1.6","1.6"
"Schwyz","55-59 ans",,"2.3","2.3"
"Schwyz","60 ans et plus",,"1.9","1.9"
"Obwald","15-19 ans",,"0.4","0.4"
"Obwald","20-24 ans",,"0.9","0.9"
"Obwald","25-29 ans",,"0.8","0.8"
"Obwald","30-34 ans",,"0.7","0.7"
"Obwald","35-39 ans",,"0.6","0.6"
"Obwald","40-44 ans",,"1","1"
"Obwald","45-49 ans",,"0.4","0.4"
"Obwald","50-54 ans",,"0.6","0.6"
"Obwald","55-59 ans",,"1","1"
"Obwald","60 ans et plus",,"0.9","0.9"
"Nidwald","15-19 ans",,"0.5","0.5"
"Nidwald","20-24 ans",,"1.2","1.2"
"Nidwald","25-29 ans",,"0.5","0.5"
"Nidwald","30-34 ans",,"1.6","1.6"
"Nidwald","35-39 ans",,"0.9","0.9"
"Nidwald","40-44 ans",,"0.8","0.8"
"Nidwald","45-49 ans",,"0.9","0.9"
"Nidwald","50-54 ans",,"1.2","1.2"
"Nidwald","55-59 ans",,"1.4","1.4"
"Nidwald","60 ans et plus",,"1.1","1.1"
"Glaris","15-19 ans",,"1.2","1.2"
"Glaris","20-24 ans",,"2.2","2.2"
"Glaris","25-29 ans",,"2.2","2.2"
"Glaris","30-34 ans",,"2","2"
"Glaris","35-39 ans",,"1.5","1.5"
"Glaris","40-44 ans",,"1.6","1.6"
"Glaris","45-49 ans",,"1.5","1.5"
"Glaris","50-54 ans",,"1.7","1.7"
"Glaris","55-59 ans",,"2.3","2.3"
"Glaris","60 ans et plus",,"2.4","2.4"
"Zoug","15-19 ans",,"1.4","1.4"
"Zoug","20-24 ans",,"2.1","2.1"
"Zoug","25-29 ans",,"2.3","2.3"
"Zoug","30-34 ans",,"2.6","2.6"
"Zoug","35-39 ans",,"2.4","2.4"
"Zoug","40-44 ans",,"2.4","2.4"
"Zoug","45-49 ans",,"2.1","2.1"
"Zoug","50-54 ans",,"2.6","2.6"
"Zoug","55-59 ans",,"2.3","2.3"
"Zoug","60 ans et plus",,"1.9","1.9"
"Fribourg","15-19 ans",,"2.2","2.2"
"Fribourg","20-24 ans",,"3.7","3.7"
"Fribourg","25-29 ans",,"3.2","3.2"
"Fribourg","30-34 ans",,"3.2","3.2"
"Fribourg","35-39 ans",,"2.9","2.9"
"Fribourg","40-44 ans",,"2.3","2.3"
"Fribourg","45-49 ans",,"2","2"
"Fribourg","50-54 ans",,"2.7","2.7"
"Fribourg","55-59 ans",,"2.4","2.4"
"Fribourg","60 ans et plus",,"2.5","2.5"
"Soleure","15-19 ans",,"2.6","2.6"
"Soleure","20-24 ans",,"3.1","3.1"
"Soleure","25-29 ans",,"3","3"
"Soleure","30-34 ans",,"3.4","3.4"
"Soleure","35-39 ans",,"2.6","2.6"
"Soleure","40-44 ans",,"2","2"
"Soleure","45-49 ans",,"1.9","1.9"
"Soleure","50-54 ans",,"2.3","2.3"
"Soleure","55-59 ans",,"2.8","2.8"
"Soleure","60 ans et plus",,"2.9","2.9"
"Bâle-Ville","15-19 ans",,"5.4","5.4"
"Bâle-Ville","20-24 ans",,"4.1","4.1"
"Bâle-Ville","25-29 ans",,"3.8","3.8"
"Bâle-Ville","30-34 ans",,"4.2","4.2"
"Bâle-Ville","35-39 ans",,"3.7","3.7"
"Bâle-Ville","40-44 ans",,"3.7","3.7"
"Bâle-Ville","45-49 ans",,"2.8","2.8"
"Bâle-Ville","50-54 ans",,"2.8","2.8"
"Bâle-Ville","55-59 ans",,"3","3"
"Bâle-Ville","60 ans et plus",,"2.5","2.5"
"Bâle-Campagne","15-19 ans",,"1.7","1.7"
"Bâle-Campagne","20-24 ans",,"3.9","3.9"
"Bâle-Campagne","25-29 ans",,"3.6","3.6"
"Bâle-Campagne","30-34 ans",,"3.6","3.6"
"Bâle-Campagne","35-39 ans",,"3","3"
"Bâle-Campagne","40-44 ans",,"2.3","2.3"
"Bâle-Campagne","45-49 ans",,"2.2","2.2"
"Bâle-Campagne","50-54 ans",,"2.2","2.2"
"Bâle-Campagne","55-59 ans",,"2.7","2.7"
"Bâle-Campagne","60 ans et plus",,"2.6","2.6"
"Schaffhouse","15-19 ans",,"2.8","2.8"
"Schaffhouse","20-24 ans",,"4.4","4.4"
"Schaffhouse","25-29 ans",,"3.7","3.7"
"Schaffhouse","30-34 ans",,"3.7","3.7"
"Schaffhouse","35-39 ans",,"3","3"
"Schaffhouse","40-44 ans",,"2.8","2.8"
"Schaffhouse","45-49 ans",,"2.6","2.6"
"Schaffhouse","50-54 ans",,"2.6","2.6"
"Schaffhouse","55-59 ans",,"2.2","2.2"
"Schaffhouse","60 ans et plus",,"2.1","2.1"
"Appenzell Rhodes-Extérieures","15-19 ans",,"0.6","0.6"
"Appenzell Rhodes-Extérieures","20-24 ans",,"2","2"
"Appenzell Rhodes-Extérieures","25-29 ans",,"2.3","2.3"
"Appenzell Rhodes-Extérieures","30-34 ans",,"1.7","1.7"
"Appenzell Rhodes-Extérieures","35-39 ans",,"1.6","1.6"
"Appenzell Rhodes-Extérieures","40-44 ans",,"1.5","1.5"
"Appenzell Rhodes-Extérieures","45-49 ans",,"1.5","1.5"
"Appenzell Rhodes-Extérieures","50-54 ans",,"1.9","1.9"
"Appenzell Rhodes-Extérieures","55-59 ans",,"1.9","1.9"
"Appenzell Rhodes-Extérieures","60 ans et plus",,"1.7","1.7"
"Appenzell Rhodes-Intérieures","15-19 ans",,"...","..."
"Appenzell Rhodes-Intérieures","20-24 ans",,"1.6","1.6"
"Appenzell Rhodes-Intérieures","25-29 ans",,"0.4","0.4"
"Appenzell Rhodes-Intérieures","30-34 ans",,"...","..."
"Appenzell Rhodes-Intérieures","35-39 ans",,"...","..."
"Appenzell Rhodes-Intérieures","40-44 ans",,"0.2","0.2"
"Appenzell Rhodes-Intérieures","45-49 ans",,"0.4","0.4"
"Appenzell Rhodes-Intérieures","50-54 ans",,"0.5","0.5"
"Appenzell Rhodes-Intérieures","55-59 ans",,"...","..."
"Appenzell Rhodes-Intérieures","60 ans et plus",,"...","..."
"St-Gall","15-19 ans",,"2","2"
"St-Gall","20-24 ans",,"2.6","2.6"
"St-Gall","25-29 ans",,"2.8","2.8"
"St-Gall","30-34 ans",,"2.5","2.5"
"St-Gall","35-39 ans",,"2.4","2.4"
"St-Gall","40-44 ans",,"1.9","1.9"
"St-Gall","45-49 ans",,"1.5","1.5"
"St-Gall","50-54 ans",,"1.9","1.9"
"St-Gall","55-59 ans",,"2.2","2.2"
"St-Gall","60 ans et plus",,"2.3","2.3"
"Grisons","15-19 ans",,"1","1"
"Grisons","20-24 ans",,"1.6","1.6"
"Grisons","25-29 ans",,"1.3","1.3"
"Grisons","30-34 ans",,"1.2","1.2"
"Grisons","35-39 ans",,"1.2","1.2"
"Grisons","40-44 ans",,"0.7","0.7"
"Grisons","45-49 ans",,"0.8","0.8"
"Grisons","50-54 ans",,"1","1"
"Grisons","55-59 ans",,"1","1"
"Grisons","60 ans et plus",,"1","1"
"Argovie","15-19 ans",,"2.2","2.2"
"Argovie","20-24 ans",,"3.9","3.9"
"Argovie","25-29 ans",,"3.6","3.6"
"Argovie","30-34 ans",,"3.4","3.4"
"Argovie","35-39 ans",,"3.2","3.2"
"Argovie","40-44 ans",,"2.5","2.5"
"Argovie","45-49 ans",,"2.3","2.3"
"Argovie","50-54 ans",,"2.7","2.7"
"Argovie","55-59 ans",,"2.8","2.8"
"Argovie","60 ans et plus",,"2.7","2.7"
"Thurgovie","15-19 ans",,"2","2"
