"Canton","Nationalité","Mois","Septembre 2017","Total"
 , ,"Mesures","Taux de chômage","Taux de chômage"
"Zurich","Etrangers",,"5.3","5.3"
"Zurich","Suisses",,"2.5","2.5"
"Berne","Etrangers",,"5.5","5.5"
"Berne","Suisses",,"1.8","1.8"
"Lucerne","Etrangers",,"3.9","3.9"
"Lucerne","Suisses",,"1.3","1.3"
"Uri","Etrangers",,"2.1","2.1"
"Uri","Suisses",,"0.4","0.4"
"Schwyz","Etrangers",,"3.4","3.4"
"Schwyz","Suisses",,"1.2","1.2"
"Obwald","Etrangers",,"2.2","2.2"
"Obwald","Suisses",,"0.5","0.5"
"Nidwald","Etrangers",,"2.9","2.9"
"Nidwald","Suisses",,"0.7","0.7"
"Glaris","Etrangers",,"3.4","3.4"
"Glaris","Suisses",,"1.4","1.4"
"Zoug","Etrangers",,"3.9","3.9"
"Zoug","Suisses",,"1.7","1.7"
"Fribourg","Etrangers",,"5","5"
"Fribourg","Suisses",,"2","2"
"Soleure","Etrangers",,"5","5"
"Soleure","Suisses",,"1.9","1.9"
"Bâle-Ville","Etrangers",,"4.6","4.6"
"Bâle-Ville","Suisses",,"2.8","2.8"
"Bâle-Campagne","Etrangers",,"4.8","4.8"
"Bâle-Campagne","Suisses",,"2.2","2.2"
"Schaffhouse","Etrangers",,"5.1","5.1"
"Schaffhouse","Suisses",,"2.2","2.2"
"Appenzell Rhodes-Extérieures","Etrangers",,"3.4","3.4"
"Appenzell Rhodes-Extérieures","Suisses",,"1.4","1.4"
"Appenzell Rhodes-Intérieures","Etrangers",,"2","2"
"Appenzell Rhodes-Intérieures","Suisses",,"0.5","0.5"
"St-Gall","Etrangers",,"4.3","4.3"
"St-Gall","Suisses",,"1.5","1.5"
"Grisons","Etrangers",,"2.3","2.3"
"Grisons","Suisses",,"0.7","0.7"
"Argovie","Etrangers",,"5.6","5.6"
"Argovie","Suisses",,"2.1","2.1"
"Thurgovie","Etrangers",,"3.9","3.9"
"Thurgovie","Suisses",,"1.4","1.4"
"Tessin","Etrangers",,"4.6","4.6"
"Tessin","Suisses",,"2.5","2.5"
"Vaud","Etrangers",,"5.9","5.9"
"Vaud","Suisses",,"3.5","3.5"
"Valais","Etrangers",,"4.9","4.9"
"Valais","Suisses",,"2.1","2.1"
"Neuchâtel","Etrangers",,"7.4","7.4"
"Neuchâtel","Suisses",,"4.2","4.2"
"Genève","Etrangers",,"5.7","5.7"
"Genève","Suisses",,"4.8","4.8"
"Jura","Etrangers",,"9","9"
"Jura","Suisses",,"3.6","3.6"
