"Canton","Mois","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017"
 ,"Mesures","Chômeurs inscrits","Entrées au chômage","Sortis du chômage","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs","Demandeurs d'emploi non chômeurs - PET","Demandeurs d'emploi non chômeurs - autres","Demandeurs d'emploi non chômeurs - Reconversion/perfectionnement","Demandeurs d'emploi non chômeurs - gain intermédiaire","Demandeurs d'emploi entrés","Demandeurs d'emploi sortis"
"Zurich",,"27'225","5'067","5'340","3'420","4'753","34'156","6'931","295","2'563","89","3'984","5'071","5'438"
"Berne",,"13'658","2'627","2'797","2'003","2'336","18'385","4'727","323","2'153","109","2'142","2'590","2'596"
"Lucerne",,"3'885","1'166","1'275","664","453","6'756","2'871","403","1'076","258","1'134","945","1'043"
"Uri",,"112","43","54","15","13","257","145","19","56","3","67","52","64"
"Schwyz",,"1'455","345","363","185","189","2'229","774","135","374","1","264","346","362"
"Obwald",,"153","57","69","21","10","319","166","51","76","13","26","49","53"
"Nidwald",,"248","99","98","31","24","436","188","53","74","33","28","77","66"
"Glaris",,"416","91","109","60","78","713","297","40","92","11","154","78","95"
"Zoug",,"1'543","331","392","133","248","2'615","1'072","278","397","6","391","326","374"
"Fribourg",,"4'466","1'528","1'734","683","486","7'837","3'371","639","743","191","1'798","1'071","1'122"
"Soleure",,"3'801","1'032","1'184","584","568","6'628","2'827","390","649","151","1'637","850","882"
"Bâle-Ville",,"3'455","616","791","408","606","5'168","1'713","124","426","27","1'136","616","824"
"Bâle-Campagne",,"4'082","710","802","524","651","5'540","1'458","71","276","23","1'088","663","792"
"Schaffhouse",,"1'286","221","240","226","268","2'328","1'042","88","432","34","488","219","290"
"Appenzell Rhodes-Extérieures",,"523","127","120","65","95","866","343","32","140","16","155","113","138"
"Appenzell Rhodes-Intérieures",,"62","15","19","16","9","102","40","1","3","0","36","12","15"
"St-Gall",,"6'127","1'432","1'635","1'046","866","10'363","4'236","492","1'767","120","1'857","1'489","1'662"
"Grisons",,"1'166","552","434","194","64","2'590","1'424","256","346","46","776","559","360"
"Argovie",,"10'684","2'286","2'478","1'555","1'698","15'145","4'461","389","1'368","26","2'678","2'074","2'261"
"Thurgovie",,"3'058","850","1'019","517","416","5'618","2'560","298","830","67","1'365","841","850"
"Tessin",,"5'202","1'658","1'611","803","797","8'675","3'473","679","850","48","1'896","1'340","1'170"
"Vaud",,"17'155","4'195","4'535","1'904","3'015","24'649","7'494","1'388","1'131","16","4'959","3'186","3'391"
"Valais",,"4'816","1'528","1'769","746","588","8'027","3'211","497","723","37","1'954","1'177","1'316"
"Neuchâtel",,"4'738","891","1'017","726","1'210","6'350","1'612","278","272","32","1'030","642","764"
"Genève",,"12'234","2'260","2'158","914","2'326","15'497","3'263","601","448","191","2'023","1'835","1'945"
"Jura",,"1'619","292","385","266","446","2'375","756","9","388","8","351","243","301"
"Total",,"133'169","30'019","32'428","17'709","22'213","193'624","60'455","7'829","17'653","1'556","33'417","26'464","28'174" 
