"Canton","Nationalité","Mois","Janvier 2017","Janvier 2017","Janvier 2017","Janvier 2017","Janvier 2017","Février 2017","Février 2017","Février 2017","Février 2017","Février 2017","Mars 2017","Mars 2017","Mars 2017","Mars 2017","Mars 2017","Avril 2017","Avril 2017","Avril 2017","Avril 2017","Avril 2017","Mai 2017","Mai 2017","Mai 2017","Mai 2017","Mai 2017","Juin 2017","Juin 2017","Juin 2017","Juin 2017","Juin 2017","Juillet 2017","Juillet 2017","Juillet 2017","Juillet 2017","Juillet 2017","Août 2017","Août 2017","Août 2017","Août 2017","Août 2017","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017"
 , ,"Mesures","Chômeurs inscrits","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs","Chômeurs inscrits","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs","Chômeurs inscrits","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs","Chômeurs inscrits","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs","Chômeurs inscrits","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs","Chômeurs inscrits","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs","Chômeurs inscrits","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs","Chômeurs inscrits","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs","Chômeurs inscrits","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs"
"Zurich","Etrangers",,"15'060","1'194","2'529","18'358","3'298","14'787","1'185","2'497","18'189","3'402","14'382","1'147","2'381","17'808","3'426","13'572","1'009","2'329","16'926","3'354","13'097","936","2'293","16'516","3'419","12'724","904","2'213","16'174","3'450","12'546","1'084","2'193","15'950","3'404","12'151","1'049","2'149","15'504","3'353","12'111","1'015","2'106","15'384","3'273"
"Zurich","Suisses",,"17'327","2'606","2'900","20'982","3'655","16'832","2'438","2'865","20'559","3'727","16'459","2'282","2'810","20'243","3'784","15'970","2'094","2'830","19'684","3'714","15'527","1'962","2'813","19'268","3'741","15'201","1'887","2'825","18'960","3'759","15'446","2'246","2'856","19'162","3'716","15'363","2'451","2'700","19'038","3'675","15'114","2'405","2'647","18'772","3'658"
"Zurich","Total",,"32'387","3'800","5'429","39'340","6'953","31'619","3'623","5'362","38'748","7'129","30'841","3'429","5'191","38'051","7'210","29'542","3'103","5'159","36'610","7'068","28'624","2'898","5'106","35'784","7'160","27'925","2'791","5'038","35'134","7'209","27'992","3'330","5'049","35'112","7'120","27'514","3'500","4'849","34'542","7'028","27'225","3'420","4'753","34'156","6'931"
"Berne","Etrangers",,"6'670","624","1'090","8'570","1'900","6'562","631","1'028","8'495","1'933","6'258","602","1'002","8'330","2'072","6'004","555","996","7'845","1'841","5'494","510","958","7'379","1'885","5'065","490","932","6'888","1'823","4'911","516","906","6'800","1'889","4'913","605","869","6'761","1'848","4'900","597","848","6'859","1'959"
"Berne","Suisses",,"10'284","1'700","1'654","13'016","2'732","10'176","1'653","1'559","12'872","2'696","9'777","1'494","1'524","12'559","2'782","9'318","1'366","1'536","12'037","2'719","8'903","1'209","1'516","11'640","2'737","8'525","1'089","1'475","11'342","2'817","8'722","1'277","1'519","11'642","2'920","8'916","1'517","1'507","11'632","2'716","8'758","1'406","1'488","11'526","2'768"
"Berne","Total",,"16'954","2'324","2'744","21'586","4'632","16'738","2'284","2'587","21'367","4'629","16'035","2'096","2'526","20'889","4'854","15'322","1'921","2'532","19'882","4'560","14'397","1'719","2'474","19'019","4'622","13'590","1'579","2'407","18'230","4'640","13'633","1'793","2'425","18'442","4'809","13'829","2'122","2'376","18'393","4'564","13'658","2'003","2'336","18'385","4'727"
"Lucerne","Etrangers",,"2'221","273","236","3'550","1'329","2'094","256","219","3'524","1'430","1'969","238","211","3'400","1'431","1'889","209","223","3'242","1'353","1'760","204","212","3'127","1'367","1'656","194","209","2'998","1'342","1'591","196","209","2'893","1'302","1'606","232","195","2'915","1'309","1'593","217","181","2'902","1'309"
"Lucerne","Suisses",,"2'764","539","350","4'400","1'636","2'714","525","335","4'333","1'619","2'524","452","334","4'174","1'650","2'426","421","320","4'061","1'635","2'322","380","333","3'964","1'642","2'228","356","312","3'916","1'688","2'284","402","304","3'912","1'628","2'386","507","300","3'938","1'552","2'292","447","272","3'854","1'562"
"Lucerne","Total",,"4'985","812","586","7'950","2'965","4'808","781","554","7'857","3'049","4'493","690","545","7'574","3'081","4'315","630","543","7'303","2'988","4'082","584","545","7'091","3'009","3'884","550","521","6'914","3'030","3'875","598","513","6'805","2'930","3'992","739","495","6'853","2'861","3'885","664","453","6'756","2'871"
"Uri","Etrangers",,"175","11","11","249","74","161","14","9","253","92","148","12","11","233","85","135","14","14","209","74","104","9","12","176","72","75","6","11","137","62","69","8","8","127","58","57","6","7","122","65","53","6","7","130","77"
"Uri","Suisses",,"122","30","11","215","93","115","29","11","204","89","108","26","10","198","90","93","23","8","185","92","92","18","9","183","91","84","12","10","157","73","60","8","9","138","78","66","12","10","145","79","59","9","6","127","68"
"Uri","Total",,"297","41","22","464","167","276","43","20","457","181","256","38","21","431","175","228","37","22","394","166","196","27","21","359","163","159","18","21","294","135","129","16","17","265","136","123","18","17","267","144","112","15","13","257","145"
"Schwyz","Etrangers",,"835","76","82","1'242","407","809","67","86","1'236","427","772","74","84","1'206","434","710","65","81","1'139","429","651","44","92","1'080","429","625","41","92","1'050","425","630","49","83","1'023","393","631","74","79","1'040","409","617","67","76","1'027","410"
"Schwyz","Suisses",,"959","120","123","1'339","380","957","121","124","1'332","375","898","100","118","1'282","384","870","88","116","1'250","380","811","69","113","1'182","371","786","73","112","1'190","404","817","76","123","1'209","392","835","112","116","1'200","365","838","118","113","1'202","364"
"Schwyz","Total",,"1'794","196","205","2'581","787","1'766","188","210","2'568","802","1'670","174","202","2'488","818","1'580","153","197","2'389","809","1'462","113","205","2'262","800","1'411","114","204","2'240","829","1'447","125","206","2'232","785","1'466","186","195","2'240","774","1'455","185","189","2'229","774"
"Obwald","Etrangers",,"103","13","6","180","77","104","15","6","190","86","95","13","3","173","78","93","13","5","163","70","76","9","4","156","80","77","12","3","141","64","79","8","3","139","60","64","5","3","143","79","68","4","4","144","76"
"Obwald","Suisses",,"114","20","13","198","84","124","18","15","213","89","122","16","14","203","81","112","22","11","201","89","98","14","8","183","85","90","9","9","181","91","97","8","8","171","74","100","17","8","179","79","85","17","6","175","90"
"Obwald","Total",,"217","33","19","378","161","228","33","21","403","175","217","29","17","376","159","205","35","16","364","159","174","23","12","339","165","167","21","12","322","155","176","16","11","310","134","164","22","11","322","158","153","21","10","319","166"
"Nidwald","Etrangers",,"133","12","6","235","102","129","18","4","234","105","132","16","5","248","116","116","17","4","216","100","112","18","6","211","99","104","12","6","195","91","96","10","7","180","84","96","16","8","170","74","94","13","8","172","78"
"Nidwald","Suisses",,"172","24","18","300","128","177","23","14","317","140","165","21","12","301","136","153","15","13","287","134","144","14","10","265","121","148","17","11","254","106","145","10","11","254","109","151","20","17","255","104","154","18","16","264","110"
"Nidwald","Total",,"305","36","24","535","230","306","41","18","551","245","297","37","17","549","252","269","32","17","503","234","256","32","16","476","220","252","29","17","449","197","241","20","18","434","193","247","36","25","425","178","248","31","24","436","188"
"Glaris","Etrangers",,"283","37","38","461","178","286","37","36","466","180","274","33","37","452","178","247","26","39","414","167","231","23","34","388","157","209","18","34","383","174","195","19","29","368","173","203","23","31","373","170","184","21","28","363","179"
"Glaris","Suisses",,"284","48","40","415","131","290","49","41","425","135","277","42","42","414","137","270","37","42","393","123","253","28","43","369","116","232","27","43","352","120","220","32","47","337","117","232","36","47","357","125","232","39","50","350","118"
"Glaris","Total",,"567","85","78","876","309","576","86","77","891","315","551","75","79","866","315","517","63","81","807","290","484","51","77","757","273","441","45","77","735","294","415","51","76","705","290","435","59","78","730","295","416","60","78","713","297"
"Zoug","Etrangers",,"827","55","132","1'344","517","832","63","123","1'380","548","805","55","127","1'349","544","791","48","132","1'319","528","765","39","123","1'290","525","724","42","118","1'264","540","728","49","122","1'266","538","712","56","117","1'223","511","717","41","115","1'217","500"
"Zoug","Suisses",,"929","117","127","1'487","558","952","118","116","1'499","547","924","105","116","1'518","594","913","104","116","1'482","569","887","89","107","1'457","570","852","72","124","1'440","588","846","70","131","1'441","595","892","121","133","1'440","548","826","92","133","1'398","572"
"Zoug","Total",,"1'756","172","259","2'831","1'075","1'784","181","239","2'879","1'095","1'729","160","243","2'867","1'138","1'704","152","248","2'801","1'097","1'652","128","230","2'747","1'095","1'576","114","242","2'704","1'128","1'574","119","253","2'707","1'133","1'604","177","250","2'663","1'059","1'543","133","248","2'615","1'072"
